/mnt/wodobrow/loghub_logs/CloudStack/CloudStack.txt
ID=4     : size=155613    : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>AgentManager-Handler<:NUM:>:<:PRNTEND:> SeqA <:*:> <:*:> Seq <:*:> <:CRL:> <:*:> , MgmtId: <:NUM:>, via: <:NUM:>, Ver: v<:NUM:>, Flags: <:NUM:>, <:SQBR_CONT:> <:CRLEND:>
ID=16    : size=15955     : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>ClusteredAgentManager <:*:> Resetting hosts suitable for reconnect
ID=18    : size=15955     : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>ClusteredAgentManager <:*:> Completed resetting hosts suitable for reconnect
ID=30    : size=15662     : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> <:IP:> -- GET <:*:>
ID=33    : size=9580      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> No need to calibrate <:*:> capacity, host:<:NUM:> <:*:> <:NUM:> <:*:> <:NUM:>
ID=13    : size=9574      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> capacity updates for public ip and Vlans
ID=8     : size=9574      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Executing <:*:> capacity update
ID=6     : size=9574      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done executing <:*:> capacity update
ID=34    : size=7444      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> <:CMP:><:CMP:><:CMP:>END<:CMP:><:CMP:><:CMP:> <:IP:> -- GET <:*:>
ID=63    : size=5582      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> <:IP:> <:*:> <:NUM:><:PRNTEND:>\n\tat org.apache.cloudstack.storage.resource.NfsSecondaryStorageResource.executeRequest<:PRNTBEG:>NfsSecondaryStorageResource.java:<:NUM:><:PRNTEND:>\n\tat com.cloud.storage.resource.PremiumSecondaryStorageResource.defaultAction<:PRNTBEG:>PremiumSecondaryStorageResource.java:<:NUM:><:PRNTEND:>\n\tat com.cloud.storage.resource.PremiumSecondaryStorageResource.executeRequest<:PRNTBEG:>PremiumSecondaryStorageResource.java:<:NUM:><:PRNTEND:>\n\tat com.cloud.agent.Agent.processRequest<:PRNTBEG:>Agent.java:<:NUM:><:PRNTEND:>\n\tat com.cloud.agent.Agent$AgentRequestHandler.doTask<:PRNTBEG:>Agent.java:<:NUM:><:PRNTEND:>\n\tat com.cloud.utils.nio.Task.run<:PRNTBEG:>Task.java:<:NUM:><:PRNTEND:>\n\tat java.util.concurrent.ThreadPoolExecutor.runWorker<:PRNTBEG:>ThreadPoolExecutor.java:<:NUM:><:PRNTEND:>\n\tat java.util.concurrent.ThreadPoolExecutor$Worker.run<:PRNTBEG:>ThreadPoolExecutor.java:<:NUM:><:PRNTEND:>\n\tat java.lang.Thread.run<:PRNTBEG:>Thread.java:<:NUM:><:PRNTEND:>\n","wait":<:NUM:><:CRLEND:><:CRLEND:><:SQBREND:> <:CRLEND:>
ID=61    : size=5561      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>AgentManager-Handler<:NUM:>:<:PRNTEND:> Seq <:NUM:><:NUM:>: Processing: <:CRL:> Ans: , MgmtId: <:NUM:>, via: <:NUM:>, Ver: v<:NUM:>, Flags: <:NUM:>, <:SQBR:><:CRL:>"com.cloud.agent.api.Answer":<:CRL:>"result":false,"details":"com.cloud.utils.exception.CloudRuntimeException: GetRootDir for <:PATH:> failed due to com.cloud.utils.exception.CloudRuntimeException: Unable to mount <:IP:>:<:PATH:> at <:PATH:> due to mount.nfs: access denied by server while mounting <:IP:>:<:PATH:>\n\tat org.apache.cloudstack.storage.resource.NfsSecondaryStorageResource.getRootDir<:PRNTBEG:>NfsSecondaryStorageResource.java:<:NUM:><:PRNTEND:>\n\tat <:*:>
ID=29    : size=4793      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Found <:NUM:> VMs <:*:> host <:NUM:>
ID=10    : size=4790      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Successfully set Capacity - <:NUM:> for capacity type - <:NUM:> , DataCenterId - <:NUM:>, HostOrPoolId - <:NUM:>, PodId <:NUM:>
ID=31    : size=4790      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Found <:NUM:> VM, not running on host <:NUM:>
ID=60    : size=4788      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> LB HealthCheck Manager is running and getting the updates from LB providers and updating service status
ID=28    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done running HostReservationReleaseChecker ...
ID=26    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> recalculating system capacity
ID=25    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Cannot release reservation, Found <:NUM:> VMs Running on host <:NUM:>
ID=24    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Running Capacity Checker ...
ID=23    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Checking if any host reservation can be released ...
ID=21    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done running Capacity Checker ...
ID=19    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done recalculating system capacity
ID=15    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Executing capacity updates for private ip
ID=17    : size=4787      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done executing capacity updates for private ip
ID=46    : size=4786      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> External devices stats collector is running...
ID=45    : size=4786      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Got <:NUM:> snapshots to be executed at <:NUM:><:NUM:><:NUM:> <:NUM:>:<:NUM:>:<:NUM:> GMT
ID=44    : size=4786      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Snapshot scheduler.poll is being called at <:NUM:><:NUM:><:NUM:> <:NUM:>:<:NUM:>:<:NUM:> GMT
ID=43    : size=4786      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Found <:NUM:> running routers.
ID=36    : size=4100      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Retrieving user: admin
ID=35    : size=4094      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Attempting to log in user: admin in domain <:NUM:>
ID=37    : size=4091      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> User: admin in domain <:NUM:> has successfully logged in
ID=32    : size=4074      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Expired session, missing signature, or missing apiKey -- ignoring request. Signature: null, apiKey: null
ID=40    : size=2388      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> WARN <:SQBR_CONT:> <:*:> alertType:: <:NUM:> <:PATH:> dataCenterId:: <:NUM:> <:PATH:> podId:: <:NUM:> <:PATH:> clusterId:: null <:PATH:> message:: No usage server process running
ID=42    : size=2388      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Have already sent: <:NUM:> emails for alert type <:STRING:> -- skipping send email
ID=39    : size=2388      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> usage server running? false, heartbeat: null
ID=38    : size=2388      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:*:> checking health of usage server
ID=84    : size=2012      : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> <:IP:> at <:*:>
ID=67    : size=651       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Seq <:NUM:><:NUM:>: <:*:> <:CRL:> <:*:> , MgmtId: <:NUM:>, via: <:*:> Ver: v<:NUM:>, Flags: <:NUM:>, <:*:> <:CRLEND:>
ID=62    : size=462       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:*:> Found <:NUM:> <:*:> <:*:> to cleanup
ID=41    : size=451       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Loading module context <:SQBR_CONT:> from URL <:SQBR_CONT:>
ID=162   : size=427       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> >>>Generating Response>>>
ID=161   : size=427       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> >>>Searching for hosts>>>
ID=317   : size=210       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Sending <:*:> to listener: <:*:>
ID=69    : size=196       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Registering extension <:SQBR_CONT:> in <:SQBR_CONT:>
ID=71    : size=188       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Registered <:*:>
ID=59    : size=143       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Done <:*:> CloudStack Components
ID=58    : size=143       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> <:*:> CloudStack Components
ID=219   : size=139       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> VM state transitted from <:*:> to <:*:> with event: <:*:> original host id: <:*:> new host id: <:*:> host id before state transition: <:*:>
ID=85    : size=115       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> <:IP:> at <:*:> <:*:>
ID=165   : size=100       : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:*:> <:*:> job<:NUM:> <:*:> job monitoring
ID=132   : size=91        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Management server heartbeat takes too long to finish. profiler: Done. Duration: <:NUM:>ms, profilerHeartbeatUpdate: Done. Duration: <:NUM:>ms, profilerPeerScan: Done. Duration: <:NUM:>ms
ID=308   : size=90        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Secondary storage garbage collector found <:NUM:> <:*:> to cleanup on <:*:> for store: <:*:>
ID=74    : size=82        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> <:*:> <:*:> <:SQBR_CONT:>
ID=160   : size=78        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> <:IP:> -- POST
ID=2     : size=72        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Module Hierarchy: <:*:>
ID=1     : size=72        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Loaded module context <:SQBR_CONT:> in <:NUM:> ms
ID=196   : size=70        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Free <:*:> <:NUM:> , Requested <:*:> <:NUM:>
ID=65    : size=60        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Retrieving keys from <:*:>
ID=186   : size=57        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Listing clusters in order of aggregate capacity, that have <:PRNTBEG:>atleast one host with<:PRNTEND:> enough CPU and RAM capacity under this Zone: <:NUM:>
ID=185   : size=57        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Searching all possible resources under this Zone: <:NUM:>
ID=173   : size=57        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Access granted to Acct<:SQBR_CONT:> to Domain:<:NUM:>/ by AffinityGroupAccessChecker
ID=392   : size=55        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Deploy avoids pods: <:SQBR:><:SQBREND:>, clusters: <:SQBR:><:SQBREND:>, hosts: <:*:>
ID=177   : size=52        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Allocating <:*:> for VM<:SQBR_CONT:>
ID=378   : size=51        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Deploy avoids pods: null, clusters: null, hosts: null
ID=171   : size=50        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Done executing <:*:> for job<:NUM:>
ID=164   : size=50        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> submit async job<:NUM:>, details: AsyncJobVO <:CRL:>id:<:NUM:>, userId: <:NUM:>, accountId: <:NUM:>, instanceType: <:*:> instanceId: <:*:> cmd: <:*:> cmdInfo: <:*:> cmdVersion: <:NUM:>, status: IN_PROGRESS, processStatus: <:NUM:>, resultCode: <:NUM:>, result: null, initMsid: <:NUM:>, completeMsid: null, lastUpdated: null, lastPolled: null, created: null<:CRLEND:>
ID=166   : size=50        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Executing AsyncJobVO <:CRL:>id:<:NUM:>, userId: <:NUM:>, accountId: <:NUM:>, instanceType: <:*:> instanceId: <:*:> cmd: <:*:> cmdInfo: <:*:> cmdVersion: <:NUM:>, status: IN_PROGRESS, processStatus: <:NUM:>, resultCode: <:NUM:>, result: null, initMsid: <:NUM:>, completeMsid: null, lastUpdated: null, lastPolled: null, created: null<:CRLEND:>
ID=220   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Successfully transitioned to start state for VM<:SQBR_CONT:> reservation id <:CMP:> <:*:>
ID=202   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Checking suitable pools for volume <:PRNTBEG:>Id, Type<:PRNTEND:>: <:PRNTBEG:><:NUM:>,ROOT<:PRNTEND:>
ID=203   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> We need to allocate new storagepool for this volume
ID=204   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Calling StoragePoolAllocators to find suitable pools
ID=205   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> LocalStoragePoolAllocator trying to find storage pool to fit the vm
ID=213   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> <:*:> returning <:NUM:> suitable storage pools
ID=221   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Trying to deploy VM, vm has dcId: <:NUM:> and podId: <:*:>
ID=184   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Is ROOT volume READY <:PRNTBEG:>pool already allocated<:PRNTEND:>?: No
ID=183   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Trying to allocate a host and storage pools from dc:<:NUM:>, <:*:> requested cpu: <:NUM:>, requested ram: <:NUM:>
ID=182   : size=48        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> DeploymentPlanner allocation algorithm: com.cloud.deploy.FirstFitPlanner@<:NUM:>d<:NUM:>ea<:NUM:>f
ID=77    : size=44        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> <:*:> <:*:>
ID=313   : size=42        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Dispatching resource state event CREATE_HOST_VO_FOR_CONNECTED to <:*:>
ID=227   : size=41        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Hosts's actual total <:*:> <:NUM:> and <:*:> after applying overprovisioning: <:NUM:>
ID=178   : size=39        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Allocating nic for vm VM<:SQBR_CONT:> in network Ntwk<:SQBR_CONT:> with requested profile <:*:>
ID=198   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> STATS: Can alloc CPU from host: <:NUM:>, used: <:NUM:>, reserved: <:NUM:>, actual total: <:NUM:>, total with overprovisioning: <:NUM:>; requested cpu:<:NUM:>,alloc_from_last_host?:false ,considerReservedCapacity?: true
ID=201   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Host Allocator returning <:NUM:> suitable hosts
ID=200   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Found a suitable host, adding to list: <:NUM:>
ID=199   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> STATS: Can alloc MEM from host: <:NUM:>, used: <:NUM:>, reserved: <:NUM:>, total: <:NUM:>; requested mem: <:NUM:>,alloc_from_last_host?:false ,considerReservedCapacity?: true
ID=197   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Host has enough CPU and RAM available
ID=495   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> ClusterScopeStoragePoolAllocator looking for storage pool
ID=195   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Hosts's actual total CPU: <:NUM:> and CPU after applying overprovisioning: <:NUM:>
ID=194   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Checking if host: <:NUM:> has enough capacity for requested CPU: <:NUM:> and requested RAM: <:NUM:> , cpuOverprovisioningFactor: <:NUM:>
ID=193   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Host: <:NUM:> has cpu capability <:PRNTBEG:>cpu:<:NUM:>, speed:<:NUM:><:PRNTEND:> to support requested CPU: <:NUM:> and requested speed: <:NUM:>
ID=192   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Looking for speed<:CMP:><:NUM:>Mhz, Ram<:CMP:><:NUM:>
ID=191   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Found <:NUM:> hosts for allocation after prioritization: <:SQBR:>Host<:SQBR_CONT:><:SQBREND:>
ID=190   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> FirstFitAllocator has <:NUM:> hosts to check for allocation: <:SQBR:>Host<:SQBR_CONT:><:SQBREND:>
ID=187   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Removing from the clusterId list these clusters from avoid set: <:*:>
ID=188   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Checking resources in Cluster: <:NUM:> under Pod: <:NUM:>
ID=189   : size=35        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> FirstFitRoutingAllocator<:PRNTEND:> Looking for hosts in dc: <:NUM:> pod:<:NUM:> cluster:<:NUM:>
ID=291   : size=34        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>main:<:PRNTEND:> Registry <:SQBR_CONT:> contains <:SQBR_CONT:>
ID=233   : size=31        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Network id<:CMP:><:NUM:> is already implemented
ID=144   : size=30        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> Cleaning <:*:> for vm: <:NUM:>
ID=167   : size=30        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> ERROR <:SQBR_CONT:> <:*:> Unexpected exception while executing <:*:>
ID=48    : size=27        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> INFO <:SQBR_CONT:> <:PRNTBEG:>Agent-Selector:<:PRNTEND:> <:*:> to <:IP:>:<:NUM:>
ID=236   : size=26        : Oct <:NUM:> <:NUM:>:<:NUM:>:<:NUM:> DEBUG <:SQBR_CONT:> <:*:> <:*:> Lock is <:*:> for network id <:NUM:> as a part of router startup in Dest<:SQBR_CONT:> : Dest<:SQBR_CONT:>
